Fecha,Precio USD
2025-08-07 17:05:23,116423.02265235051
2025-08-07 17:05:33,116423.02265235051
2025-08-07 17:05:44,116423.02265235051
2025-08-07 17:05:54,116404.12934014233
2025-08-07 17:06:04,116404.12934014233
2025-08-07 17:06:15,116404.12934014233
2025-08-07 17:06:25,116343.98722758178
2025-08-07 17:06:35,116343.98722758178
2025-08-07 17:06:45,116343.98722758178
2025-08-07 17:06:56,116343.98722758178
2025-08-07 17:07:06,116343.98722758178
2025-08-07 17:07:16,116343.98722758178
2025-08-07 17:07:27,116371.80737614287
2025-08-07 17:07:37,116371.80737614287
2025-08-07 17:07:47,116371.80737614287
2025-08-07 17:07:57,116371.80737614287
